Venue,Review ID,review,N/C,Tone
ShitMyReviews,,The authors are amateurs,1,2
ShitMyReviews,,"In the list of authors, one wonders whether these authors read the manuscript",1,2
ShitMyReviews,,"Nothing changes in our collective research programs as a result of this work. Still, the work is well done and needs to appear somewhere in the literature.",3,1
ICLR,rypT3fb0b_R3,It would have been good to see more discussion or exploration of this .,4,3
ICLR,Hyp-JJJRW_R1,"For all these reasons , Im afraid I must recommend this paper be rejected . """,3,2
NIPS,491,"3) I think the comparison in the simulation part is not fair because of the following reasons,   i)  There is no run-time data for the numerical experiments.  Sample complexity is not the only factor that shows the complexity of the algorithm.  In many problems, including compressive linear regression, it is possible to solve the problem with information theoretic bounds for sample complexity at the cost of exponential run-time.  If the claim is having efficient sample complexity, some computational complexity should be included as well.  Moreover, in comparison of different methods, this should be considered.",5,1
ICLR,HymYLebCb_R2,The proposed image representation is mainly based on a previous work of permutation invariant adjacency matrix .,4,2
ShitMyReviews,,"This article describes [XY], a research project investigating methods for educational game design. The paper is poorly written"".[full review]",3,3
ShitMyReviews,,To justify these conclusions and spur the authors onto the better things they are undoubtedly capable of I append some details.,2,2
Publons,VMS3-2020-Apr-0146.R2,"Dear authors,  
  
 thank you for final editing of your manuscript according my suggestions.  
  
 My best regards.",3,1
ICLR,HypkN9yRW_R1,Currently there is a sudden jump between deep learning and the problem of interest .,3,1
ICLR,Hyp3i2xRb_R3,"Overall , the presented idea is novel to the best of my knowledge and the manuscript is well written .",3,2
ShitMyReviews,,I concur with the reviewers that the methods are insufficient and thus the conclusion are totally overblown.,3,1
ICLR,B1EVwkqTW_R2,The paper is readable but it could be more fluent .,4,2
ICLR,B13njo1R-_R1,- A second testbed ( such as navigation or manipulation ) would bring the paper up a notch .,4,3
ShitMyReviews,,"Reviewer: 1Comments to the AuthorThis study is weak. not innovation (That is their entire review, on a paper that is an R&R from everyone else)",3,2
ICLR,B13EC5u6W_R3,The resulting image can be subtracted from the original encoding to highlight problematic areas .,3,1
ICLR,Hyp3i2xRb_R3,Optimal hyperparameters are usually model specific .,3,2
Publons,M22010058.R1,"The authors have not responded appropriately to Q14 + Q15  
  
 Q14: the answer should be reported in the manuscript itself – including how hypercalciuria was defined  
  
 Q15 – phosphorous is considered of importance I relation to renal calcification – the lack of any effect needs to be further highlighted in the manuscript and is appropriate to discuss",5,2
Publons,DOM-21-0882-OP.R1,Thank you for your answer! I have no comments to add,3,2
ICLR,B11bwYgfM_R3,"I think there are some interesting ideas in this paper , and the use of matrix completion techniques to deal with a large number of tasks is nice .",4,3
ShitMyReviews,,To put it bluntly: The last thing I want is a reviewer rejecting my papers with reference to an ideological paper like this one.,1,1
NIPS,239,"Furthermore, in my opinion the authors tend to overstate their contributions w.r.t existing methods, in particular the one in [17] (point #1 below). Finally, the experimental evaluation on image generation is a bit lacking (point #3 below). My current vote is for rejection, but I'm willing to increase my score given satisfying answers to the following three main points: ",5,1
ICLR,,Authors seems kind of strange .,1,1
ICLR,rywHCPkAW_R2,""" This paper introdues Noisy Nets , that are neural networks whose parameters are perturbed by a parametric noise function , and they apply them to 3 state of the art deep reinforcement learning algorithms : DQN , Dueling networks and A3C .",3,2
ICLR,B1zlp1bRW_R4,Major comments : flawed,1,2
ICLR,HytSvlWRZ_R1,- In section 2.2 and 4 there is some confusion between iteration indices and samples indices i .,3,3
ICLR,rywHCPkAW_R1,Its disappointing .,2,1
ShitMyReviews,,I find the title and the main premise of the abstract confusing and illogical. [key concept X] has the logic of a Monty Python sketch,3,2
Publons,DOM-19-0402-RA,"This is an interesting consensus statement. 
 
 
 
 It addresses relevant issues in this specific population.
 
 
 
 Minor comment:
 
 1. Please enlarge on section 7.",4,2
